"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2003";"10";NA;"0.0001755";"0.000629016";"0.0029005";NA;"0.000192722";"0.000111188";"0";"0.000825335";"0.002267529";"0.00067014";"0.000834107";"0.000884121"
"2003";"10";NA;"0.000204";"0.001050129";"0.0042284";NA;"0.0002978";"0.00015833";"0";"0.00170579";"0.0021925";"0.001091636";"0.000743";"0.000791533"
"2003";"10";NA;"0.0001475";"0.000122812";"0.0012758";NA;"0.000138755";"5.916e-05";"0.000415";"0.000569683";"0.002381951";"0.000132602";"0.000839884";"0.000917734"
"2003";"10";NA;"0.0001234";"0";"0.0004379";NA;"9.73e-05";"5.475e-06";"8.61e-06";"0.000466008";"0.001783065";"0";"0";"0.000157382"
"2003";"10";NA;"8.22e-05";"0";"0.0002968";NA;"7.53e-05";"6.5731e-05";"0";"0.001145881";"0";"0";"0";"0.000260477"
"2003";"10";NA;"8.2e-05";"0";"0.0002966";NA;"7.6e-05";"2.8e-08";"0.000168";"0.000297271";"0";"0";"0";"0.000225062"
"2003";"10";NA;"8.1e-05";"0";"0.0002902";NA;"7.04e-05";"4.717e-06";"0.00248";"0.000683785";"0";"0";"0";"0.000288373"
"2003";"10";NA;"8.87e-05";"0";"0.0003154";NA;"8.47e-05";"0";"0.00142";"0.000677085";"0";"0";"0";"0.000491511"
"2003";"10";NA;"9.04e-05";"0";"0.0003195";NA;"8.4e-05";"0";"0";"0.000429831";"0";"0";"0";"0.000736341"
"2003";"10";NA;"6.16e-05";"0";"0.0002142";NA;"5.64e-05";"5.026e-06";"0";"1.62e-05";"0";"0";"0";"0"
"2003";"10";NA;"4.99e-05";"0";"0.0001735";NA;"5.02e-05";"0";"0";"0";"0";"0";"0";"0"
"2003";"10";NA;"6.88e-05";"0";"0.0002409";NA;"6.18e-05";"2.197e-06";"0";"0";"0";"0";"0";"0"
"2003";"10";NA;"9.83e-05";"0";"0.0003464";NA;"8.76e-05";"5.9249e-05";"0";"0";"0";"0";"0";"0.00044208"
"2003";"10";NA;"0.0001383";"0";"0.0006789";NA;"0.00012372";"0.000193925";"0";"0";"0.001347222";"0";"0";"0.000960755"
"2003";"10";NA;"0.0001591";"0";"0.002126";NA;"0.000142925";"0.000280522";"0";"0";"0.004006853";"0";"0.000178405";"0.001344521"
"2003";"10";NA;"0.0001174";"0";"0.0004685";NA;"0.000109276";"7.6902e-05";"0";"0";"0.002800628";"0";"0";"0.000655602"
"2003";"10";NA;"0.0001164";"0";"0.0004077";NA;"0.000102776";"1.034e-05";"0";"0";"0.000927465";"0";"0";"0.000596843"
"2003";"10";NA;"0.0001601";"0";"0.0023763";NA;"0.000132793";"0.00019536";"0";"0";"0.003027182";"0";"0";"0.000354846"
"2003";"10";NA;"0.0001766";"0";"0.0036895";NA;"0.000284094";"0.00010273";"0";"0";"0.001612791";"0";"0.000522715";"0.001002877"
"2003";"10";NA;"0.0001716";"0";"0.0033442";NA;"0.000313953";"0.00023425";"0";"0.000984269";"0.004779159";"0";"0.001775968";"0.001378273"
"2003";"10";NA;"0.0001358";"0";"0.00077";NA;"0.000135047";"7.679e-05";"0";"0.002702232";"0.003032019";"0";"0.000711893";"0.001216257"
"2003";"10";NA;"0.0001178";"0";"0.0004171";NA;"0.0001211";"1.493e-05";"0";"0.000222854";"0.001825359";"0";"0";"0.000932667"
"2003";"10";NA;"0.0001067";"0";"0.0003811";NA;"0.00011174";"1.37e-06";"0";"8.26e-05";"0.001477268";"0";"0";"0.000903981"
"2003";"10";NA;"0.0001099";"0";"0.0003976";NA;"9.91e-05";"7.765e-05";"0";"0.001078826";"0.00196108";"0";"0";"0.000130353"
"2003";"10";NA;"0.0001166";"0";"0.0004128";NA;"9.96e-05";"0.00015112";"0";"0.000469876";"0.000282438";"0";"0";"0.000552317"
"2003";"10";NA;"0.0001136";"0";"0.0003997";NA;"0.000116975";"2.72e-05";"0";"0.00310634";"0";"0";"0";"0.000714646"
"2003";"10";NA;"0.0001475";"0";"0.001322";NA;"0.00014772";"0.00016727";"0";"0.000725406";"0.003231906";"0";"0.000181138";"0.000871987"
"2003";"10";NA;"0.0001417";"0";"0.0009377";NA;"0.000130912";"0.0001578";"0";"0.00021886";"0.003815076";"0";"0.000132787";"0.000887705"
"2003";"10";NA;"9.13e-05";"0";"0.0003211";NA;"9.62e-05";"1.605e-05";"0";"0.000110409";"0.000160105";"0";"0";"5.5e-05"
"2003";"10";NA;"8.13e-05";"0";"0.0002868";NA;"8.31e-05";"0";"0.00011";"0.000129317";"0";"0";"0";"0"
"2003";"10";NA;"6.38e-05";"0";"0.0002259";NA;"6.49e-05";"0";"0.000104";"0.000132598";"0";"0";"0";"0"
"2003";"10";NA;"8.52e-05";"0";"0.0002998";NA;"7.84e-05";"5.8e-07";"1.24e-05";"0.000291525";"0";"0";"0";"0.000101117"
"2003";"10";NA;"0.0006067";"0";"0.0004047";NA;"0.000102476";"2.952e-05";"0";"0.001686126";"0";"0";"0";"0.000572528"
"2003";"10";NA;"0.0007996";"0";"0.0006446";NA;"0.00013042";"5.335e-05";"0";"0.000951275";"0.001792416";"0";"0";"0.000367827"
"2003";"10";NA;"0.0001124";"0";"0.0003955";NA;"9.9e-05";"0.00010746";"0";"7.42e-05";"0.001599689";"0";"0";"0.000293891"
"2003";"10";NA;"9.15e-05";"0";"0.0003248";NA;"8.47e-05";"9.18e-06";"0";"0";"0";"0";"0";"0"
"2003";"10";NA;"9.69e-05";"0";"0.0003554";NA;"7.78e-05";"0.00017941";"0";"0";"0";"0";"0";"3.4e-05"
"2003";"10";NA;"0.0009479";"0";"0.0008244";NA;"0.000113367";"0.00028979";"0";"0";"0";"0";"0";"0.000306543"
"2003";"10";NA;"0.0008234";"0";"0.0004705";NA;"0.000112067";"0.00025695";"0";"0.000131715";"0.000753007";"0";"0";"0.000286408"
"2003";"10";NA;"0.0008116";"0";"0.0053873";NA;"0.00013687";"0.00038534";"0";"0.000513944";"0.004160013";"0";"0";"8.2e-05"
"2003";"10";NA;"0.0011814";"0";"0.0033181";NA;"0.000142176";"0.00036587";"0";"0.000148353";"0.003156103";"0";"0";"5.76e-05"
"2003";"10";NA;"0.0001092";"0";"0.0003883";NA;"9.67e-05";"0.00014337";"0";"0";"0.00097757";"0";"0";"0"
"2003";"10";NA;"0.000104";"0";"0.0003694";NA;"8.75e-05";"0.00011961";"0";"0";"0";"0";"0";"9.99e-05"
"2003";"10";NA;"0.0008977";"0";"0.0005182";NA;"9.81e-05";"0.00023014";"0";"0.000493239";"0.000526409";"0";"0";"0.000131395"
"2003";"10";NA;"0.0011017";"0";"0.0015978";NA;"0.000105706";"0.00040264";"0";"0.000581968";"0.001193892";"0";"0";"0.000176635"
"2003";"10";NA;"7.22e-05";"0";"0.0005939";NA;"9.15e-05";"0.00037901";"0";"0.001693461";"0";"0";"0";"0.000180096"
"2003";"10";NA;"6.58e-05";"0";"0.0002336";NA;"6.29e-05";"1.44e-06";"0";"0.002598139";"0";"0";"0";"3.15e-06"
"2003";"10";NA;"7.27e-05";"0";"0.0002683";NA;"6.89e-05";"2.946e-05";"0";"0.000138704";"0";"0";"0";"0"
"2003";"10";NA;"0.000796";"0";"0.0004079";NA;"8.42e-05";"0.00022518";"0";"0";"0";"0";"0";"0.000189982"
"2003";"10";NA;"0.001268";"0";"0.0020185";NA;"0.000131739";"0.00021756";"0.000298";"0.000100907";"0.000593834";"0";"0";"0"
"2003";"10";NA;"0.0015319";"0";"0.0073267";NA;"0.000142352";"0.00022526";"0";"0.000253376";"0.003777636";"0";"0";"0.000463816"
"2003";"10";NA;"0.00167";"0";"0.0082589";NA;"0.000224848";"0.00055964";"0";"0";"0.00480476";"0";"0.000680864";"0.000736049"
"2003";"10";NA;"0.0015346";"0";"0.0055206";NA;"0.000158328";"0.00046414";"0";"0";"0.004107575";"0";"0.001403576";"8.95e-05"
