"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2003";"10";NA;"0.0011397";"0.001170501";"0.0015884";"0.0008991";"0.000675138";"8.67e-05";"0.000657";"0.003832153";"0.002626549";"0.001038449";"0.000168";"0.00203744"
"2003";"10";NA;"0.0008549";"0.002285585";"0.0017937";"0.0008881";"0.000762503";"0.000165";"0.000657";"0.00375452";"0.00278982";"0.002063988";"0.000259";"0.002244207"
"2003";"10";NA;"0.0011098";"0.000573613";"0.0012452";"0.0008934";"0.000622442";"8.06e-05";"0.000657";"0.002950425";"0.002911645";"0.000469924";"0.000161";"0.001936678"
"2003";"10";NA;"0.000763";"7.1429e-05";"0.0008585";"0.0008685";"0.000432789";"5.248e-06";"0.000657";"0.002903145";"0.002420788";"6.5795e-05";"0.000111";"0.001562194"
"2003";"10";NA;"0.0006675";"3.311e-06";"0.0006546";"0.0005684";"0.000377255";"2.1104e-05";"0.000657";"0.003181607";"0.00104651";"1.369e-05";"8.14e-05";"0.001108705"
"2003";"10";NA;"0.0006196";"2.43e-07";"0.0006114";"0.0005446";"0.000361231";"0";"0.000657";"0.002707325";"0.000690674";"3.617e-06";"7.25e-05";"0.001143807"
"2003";"10";NA;"0.000586";"4.2e-08";"0.0005813";"0.0005267";"0.000339129";"3.79e-07";"0.000657";"0.002922347";"0.000510615";"9.61e-07";"6.61e-05";"0.001257331"
"2003";"10";NA;"0.0005591";"6e-09";"0.0005778";"0.0005106";"0.000353591";"0";"0.000657";"0.003198782";"0.000379369";"5.49e-07";"6.76e-05";"0.001657198"
"2003";"10";NA;"0.0005547";"6e-09";"0.0006016";"0.0005009";"0.000345721";"0";"0.000657";"0.002672864";"0.000399447";"5.74e-07";"6.9e-05";"0.001592383"
"2003";"10";NA;"0.0005178";"5e-09";"0.0005017";"0.0004918";"0.00029271";"4.13e-07";"0.000657";"0.002172297";"0.000319498";"5.05e-07";"5.52e-05";"0.000952552"
"2003";"10";NA;"0.0004978";"4e-09";"0.0004629";"0.000477";"0.000275085";"0";"0.000657";"0.001893253";"0.000159072";"4.74e-07";"4.64e-05";"0.000675753"
