"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2002";"10";NA;"6.3e-05";"0";"0.0008167";NA;"0.00149331";"0.000106669";"0.000182";"0.000601934";"0.000400889";"0";"0";"0.000260269"
"2002";"10";NA;"6.14e-05";"0";"0.0008012";NA;"0.00133287";"2.76e-05";"3.78e-05";"0.000127445";"0.000304846";"0";"0";"0.000296511"
"2002";"10";NA;"6.33e-05";"0";"0.0008269";NA;"0.00159677";"6.2317e-05";"0.000346";"0.000333552";"0.000203734";"0";"5.33e-05";"3.21e-05"
"2002";"10";NA;"7.53e-05";"0";"0.0009971";NA;"0.0016747";"0.00011";"0.000628";"0.000758947";"0.000407463";"0";"0.00126";"0.001709592"
"2002";"10";NA;"8.41e-05";"0.000481";"0.0011436";NA;"0.00216255";"0.000179575";"0.000775";"0.000843501";"0.00037017";"0.000478";"0.00121";"0.00015591"
"2002";"10";NA;"7.49e-05";"0.000356";"0.0009914";NA;"0.00209349";"0.000133175";"0.000642";"0.000686058";"0.000361386";"0.000354";"0.00102";"0.00093288"
"2002";"10";NA;"7.93e-05";"0.000624";"0.0010538";NA;"0.00256622";"0.000171192";"0.000498";"0.000513658";"0.000309558";"0.000618";"0.000751";"0.000478402"
"2002";"10";NA;"8.56e-05";"0.001588";"0.0011464";NA;"0.00283479";"0.000199162";"0.000885";"0.000981502";"0.000478263";"0.001575";"0.00137";"0.000738013"
"2002";"10";NA;"7.08e-05";"0.000893";"0.0009062";NA;"0.00236248";"0.000141";"0.000622";"0.000653039";"0.000395899";"0.000888";"0.00106";"0.000243839"
"2002";"10";NA;"5.71e-05";"1.5e-05";"0.0007077";NA;"0.00143576";"8.52e-05";"7.48e-05";"0.000460073";"0.000431973";"1.5e-05";"0.00101";"0"
"2002";"10";NA;"9.12e-05";"0.000105";"0.0012382";NA;"0.00257314";"0.00013133";"0.000523";"0.000478886";"0.000327631";"0.000105";"0.000756";"0.000597208"
"2002";"10";NA;"8.72e-05";"0.000895";"0.0011136";NA;"0.0034238";"0.00041963";"0.000871";"0.000999883";"0.000439647";"0.000887";"0.00134";"0.001021837"
"2002";"10";NA;"9.09e-05";"0.001081";"0.001138";NA;"0.00348348";"0.00032217";"0.000577";"0.000629117";"0.000392959";"0.001071";"0.00088";"0.000500433"
"2002";"10";NA;"8.81e-05";"0.000784";"0.0011393";NA;"0.00357568";"0.00026193";"0.000417";"0.000471813";"0.000324285";"0.000777";"0.000677";"0.000391752"
"2002";"10";NA;"6.67e-05";"0.001";"0.0007821";NA;"0.00252569";"0.000333";"0.000754";"0.001349274";"0.00058182";"0.000997";"0.0021";"0"
"2002";"10";NA;"8.52e-05";"0.001192";"0.0010797";NA;"0.00366669";"0.00035541";"0.000645";"0.000778774";"0.000431012";"0.001182";"0.00106";"0.000588104"
"2002";"10";NA;"7.73e-05";"0.001537";"0.0010419";NA;"0.00326961";"0.00038193";"0.000888";"0.00117904";"0.00056541";"0.001528";"0.00168";"0.001058573"
"2002";"10";NA;"7.24e-05";"0.000662";"0.0009373";NA;"0.00298143";"0.00019989";"0.000383";"0.000400611";"0.000300326";"0.000657";"0.000619";"0.000905275"
"2002";"10";NA;"7.39e-05";"0.001253";"0.0009746";NA;"0.00331527";"0.00034323";"0.000727";"0.000914543";"0.000471677";"0.001246";"0.00129";"0.001218974"
"2002";"10";NA;"8.79e-05";"0.001596";"0.0013284";NA;"0.00432377";"0.00047584";"0.000845";"0.001044719";"0.000536624";"0.001583";"0.0014";"0.001464281"
"2002";"10";NA;"0.0001001";"0.000678";"0.0016793";NA;"0.00510056";"0.00025042";"0.000351";"0.000420002";"0.000282517";"0.000672";"0.000524";"0.001411634"
"2002";"10";NA;"7.79e-05";"0.00134";"0.0010636";NA;"0.00411348";"0.00041225";"0.000713";"0.000918328";"0.000520637";"0.00133";"0.00126";"0.001388853"
"2002";"10";NA;"8.46e-05";"0.001366";"0.0012224";NA;"0.00434766";"0.000406";"0.000725";"0.000918398";"0.000528339";"0.001355";"0.00126";"0.000495725"
"2002";"10";NA;"7.31e-05";"0.000138";"0.0009197";NA;"0.0016714";"0";"0.000518";"0.001153893";"0.000720182";"0.000137";"0.00227";"0.003151658"
"2002";"10";NA;"7.56e-05";"4e-06";"0.0009651";NA;"0.00165634";"0";"0.000256";"0.000205299";"0.000282279";"4e-06";"0.000525";"0.003600636"
"2002";"10";NA;"7.69e-05";"0.000452";"0.0009849";NA;"0.00434486";"0.00047446";"0.000886";"0.001224889";"0.000489268";"0.000448";"0.00157";"0.007206274"
"2002";"10";NA;"9.11e-05";"0.001149";"0.0013595";NA;"0.00498845";"0.00041111";"0.000605";"0.000779496";"0.000490961";"0.001137";"0.00105";"0.007340205"
"2002";"10";NA;"9e-05";"0.001559";"0.0013183";NA;"0.00524793";"0.00053997";"0.000805";"0.001044235";"0.000591771";"0.001543";"0.00141";"0.006560947"
"2002";"10";NA;"8.39e-05";"0.001281";"0.0011308";NA;"0.00491809";"0.00045392";"0.000671";"0.000873379";"0.000526167";"0.001267";"0.00115";"0.007231991"
"2002";"10";NA;"0.0012734";"0.00147";"0.0010938";NA;"0.00256614";"0.000494";"0.000776";"0.001021136";"0.000595547";"0.001455";"0.00141";"0.008144074"
"2002";"10";NA;"0.0011977";"0.001069";"0.0009322";NA;"0.0046028";"0.00040352";"0.000558";"0.00074622";"0.000470711";"0.001057";"0.000975";"0.007594997"
"2002";"10";NA;"0.0015994";"0.000627";"0.0013901";NA;"0.00522659";"0.000269";"0.000313";"0.000410768";"0.000322171";"0.000619";"0.000566";"0.002642243"
"2002";"10";NA;"0.0015955";"0.001773";"0.0012552";NA;"0.00551459";"0.00064513";"0.000869";"0.001306659";"0.000676672";"0.001751";"0.0017";"0.006642723"
"2002";"10";NA;"0.0012065";"0.001071";"0.0007334";NA;"0.00401239";"0.00040743";"0.000622";"0.000933257";"0.000608057";"0.001063";"0.00142";"0.002617407"
"2002";"10";NA;"0.0014379";"0.000719";"0.0008781";NA;"0.00404491";"0.00036";"0.000555";"0.00075646";"0.000554015";"0.000711";"0.00122";"0.003287364"
"2002";"10";NA;"0.0013609";"0.000961";"0.000758";NA;"0.00411735";"0.00060394";"0.00085";"0.001907797";"0.000748669";"0.000956";"0.00246";"0.005262924"
"2002";"10";NA;"0.0013295";"0.000735";"0.0006933";NA;"0.00391008";"0.0006061";"0.000753";"0.001972666";"0.000797599";"0.000732";"0.00257";"0.002069973"
"2002";"10";NA;"0.0018037";"0.00104";"0.0010957";NA;"0.00489329";"0.0006655";"0.000986";"0.00181089";"0.000819228";"0.001029";"0.0023";"0.002617337"
"2002";"10";NA;"0.0010835";"0.00183";"0.0010894";NA;"0.00582089";"0.000819";"0.00103";"0.001824653";"0.000807532";"0.001804";"0.00228";"0.001487641"
"2002";"10";NA;"0.0009923";"0.001826";"0.0008386";NA;"0.0049652";"0.000668";"0.000881";"0.001648625";"0.00082325";"0.001804";"0.00215";"0.0028403"
"2002";"10";NA;"0.0010852";"0.002116";"0.000941";NA;"0.00521653";"0.0007792";"0.00101";"0.001964032";"0.00087572";"0.002089";"0.00245";"0.001090341"
"2002";"10";NA;"0.0011999";"0.002971";"0.0011257";NA;"0.00639596";"0.0011176";"0.00131";"0.002611277";"0.001015368";"0.002926";"0.00322";"0.002777913"
"2002";"10";NA;"0.0010425";"0.00211";"0.0007575";NA;"0.00475011";"0.000871";"0.00103";"0.002370678";"0.001011732";"0.002087";"0.00307";"0.001861421"
"2002";"10";NA;"0.0006956";"5.5e-05";"0.0004334";NA;"0.00170125";"0.0003943";"0.000139";"0.001071847";"0.000840311";"5.5e-05";"0.00209";"0"
"2002";"10";NA;"0.0007486";"3e-06";"0.000446";NA;"0.00164258";"0.000509";"0.000118";"0.000886033";"0.000732506";"3e-06";"0";"0.001792719"
"2002";"10";NA;"0.0010492";"0.000328";"0.0006597";NA;"0.00475759";"0.0010173";"0.00122";"0.002935371";"0.000813608";"0.000325";"0.00267";"0.002712219"
"2002";"10";NA;"0.0010364";"0.001539";"0.0006204";NA;"0.00286051";"0.000836";"0.00111";"0.002020648";"0.000873656";"0.001519";"0.00253";"0.004096002"
"2002";"10";NA;"0.0010717";"0.001891";"0.0006292";NA;"0.00241631";"0.000973";"0.00124";"0.002800843";"0.001081887";"0.001875";"0.00345";"0.003067611"
"2002";"10";NA;"0.0009712";"0.000946";"0.0005203";NA;"0.00202378";"0.000991";"0.000892";"0.003229526";"0.001075408";"0.00094";"0.00349";"0.002523441"
"2002";"10";NA;"0.0012602";"0.001369";"0.0007914";NA;"0.002696";"0.00079";"0.00115";"0.001855641";"0.000901709";"0.001351";"0.00242";"0.00133594"
"2002";"10";NA;"0.0009223";"0.000209";"0.0004516";NA;"0.00186553";"0.000707";"0.000505";"0.001863999";"0.000941768";"0.000208";"0.0027";"0.001034874"
"2002";"10";NA;"0.0013779";"0.000378";"0.0008929";NA;"0.00268138";"0.0006012";"0.000842";"0.001123457";"0.000713997";"0.000372";"0.00156";"0.000803067"
"2002";"10";NA;"0.0013761";"0.000205";"0.0008426";NA;"0.00234938";"0.000955";"0.001277423";"0.00293958";"0.001136524";"0.000203";"0.00351";"0.002494163"
"2002";"10";NA;"0.0005359";"0";"0.0002629";NA;"0.00152027";"0.000456";"0";"0.000700142";"0.000661155";"0";"9.16e-05";"0.001489128"
"2002";"10";NA;"0.0006586";"0";"0.0002908";NA;"0.00160288";"5e-04";"1.33e-05";"0.000808211";"0.000664301";"0";"0";"0.001038946"
"2002";"10";NA;"0.0013194";"7e-06";"0.0006695";NA;"0.00272545";"0.000544";"0.000817";"0.001017522";"0.00072039";"7e-06";"0.00138";"6.15e-05"
"2002";"10";NA;"0.0011176";"6e-06";"0.0004746";NA;"0.00202217";"0.000815";"0.000985";"0.002319866";"0.000952198";"6e-06";"0.00289";"0.001495657"
"2002";"10";NA;"0.0008604";"0";"0.0003313";NA;"0.00174089";"0.000647";"0.000229";"0.001719086";"0.000984996";"0";"0.0019";"0.00203331"
"2002";"10";NA;"0.0007377";"0";"0.0002817";NA;"0.00166471";"0.000341";"7.43e-05";"0.000747319";"0.000708617";"0";"0.000107";"0.001695286"
"2002";"10";NA;"0.0008286";"0";"0.0003026";NA;"0.00177967";"0.00112";"0.000347";"0.002784106";"0.000990699";"0";"0.000811";"0.002318604"
"2002";"10";NA;"0.0011148";"1e-06";"0.0004414";NA;"0.00198962";"0.000812";"0.000958";"0.002125459";"0.000996303";"1e-06";"0.00239";"0.002502125"
"2002";"10";NA;"0.0013897";"0.000929";"0.0006742";NA;"0.00373858";"0.000939";"0.00129";"0.001917379";"0.000959485";"0.000913";"0.0024";"0.0015345"
"2002";"10";NA;"0.001309";"0.00064";"0.0005599";NA;"0.00231002";"0.000965";"0.00133";"0.002807754";"0.001291435";"0.000635";"0.00375";"0.002405951"
"2002";"10";NA;"0.0012523";"0.000599";"0.0004898";NA;"0.0023442";"0.0009613";"0.00138";"0.002889596";"0.001159736";"0.000594";"0.00351";"0.002257102"
"2002";"10";NA;"0.0016443";"0.0027";"0.001287";NA;"0.00289254";"0.0015426";"0.00244";"0.004318878";"0.001453355";"0.002661";"0.00492";"0.002975611"
"2002";"10";NA;"0.0014636";"0.002961";"0.0009276";NA;"0.00254612";"0.0017234";"0.00214";"0.005983433";"0.00167046";"0.002936";"0.00638";"0.002756737"
"2002";"10";NA;"0.0017315";"0.003061";"0.0013462";NA;"0.00269116";"0.0012487";"0.00201";"0.00313906";"0.001373913";"0.003016";"0.00389";"0.003092859"
"2002";"10";NA;"0.0009995";"0.000435";"0.0004999";NA;"0.00187085";"0.000778";"0.00066";"0.002087164";"0.00111138";"0.000433";"0.00349";"0.003577328"
"2002";"10";NA;"0.0015384";"0.001002";"0.0009091";NA;"0.00255791";"0.000959";"0.00147";"0.0024954";"0.001217873";"0.000992";"0.00305";"0.003497855"
"2002";"10";NA;"0.0015902";"0.001435";"0.0009377";NA;"0.00246153";"0.001691";"0.00212";"0.006182588";"0.001524377";"0.001423";"0.0055";"0.004045532"
"2002";"10";NA;"0.0013155";"0.000211";"0.0006376";NA;"0.00190859";"0.0012211";"0.000923";"0.002946191";"0.001370875";"0.000209";"0.00379";"0.004120083"
"2002";"10";NA;"0.0015297";"1.8e-05";"0.0008007";NA;"0.00187476";"0.0019";"0.000921";"0.004064129";"0.001490674";"1.8e-05";"0.00214";"0.003998306"
"2002";"10";NA;"0.0007861";"0";"0.0003569";NA;"0.0016137";"8.85e-05";"2.13e-05";"0.000119786";"0.000309962";"0";"0";"0.004335717"
"2002";"10";NA;"0.0009934";"3e-06";"0.0004189";NA;"0.00181472";"0.000272";"0.000427";"0.000410193";"0.000499084";"3e-06";"0.000766";"0.004849756"
"2002";"10";NA;"0.0018297";"0.001172";"0.0013249";NA;"0.00353205";"0.001487";"0.0025";"0.00397901";"0.001547246";"0.001157";"0.00445";"0.004625515"
"2002";"10";NA;"0.0019625";"0.005825";"0.0023276";NA;"0.00301836";"0.0023786";"0.00394";"0.007176721";"0.002022418";"0.005752";"0.00771";"0.00431277"
"2002";"10";NA;"0.0019143";"0.004452";"0.0017829";NA;"0.00287374";"0.0018272";"0.00315";"0.004810516";"0.001788468";"0.00439";"0.00589";"0.005256715"
"2002";"10";NA;"0.0014483";"0.001126";"0.0006435";NA;"0.002246";"0.00061";"0.00111";"0.001271611";"0.000964006";"0.001114";"0.00203";"0.005206623"
"2002";"10";NA;"0.0014835";"0.0015";"0.000652";NA;"0.00229252";"0.000872";"0.00146";"0.002066818";"0.001143337";"0.001485";"0.00292";"0.004897404"
"2002";"10";NA;"0.0015666";"0.00199";"0.0007025";NA;"0.00240828";"0.000906";"0.00163";"0.002117769";"0.001167198";"0.001966";"0.00294";"0.004892449"
"2002";"10";NA;"0.0018108";"0.002686";"0.0010887";NA;"0.00259892";"0.00107";"0.00195";"0.002446953";"0.001323873";"0.002647";"0.00322";"0.00524268"
"2002";"10";NA;"0.0020305";"0.003322";"0.0018403";NA;"0.00264277";"0.0019313";"0.00315";"0.005919703";"0.00201921";"0.003289";"0.00656";"0.005393379"
"2002";"10";NA;"0.0019761";"0.002411";"0.0014683";NA;"0.00285976";"0.00106";"0.00178";"0.001992905";"0.00116915";"0.002365";"0.00261";"0.005127821"
"2002";"10";NA;"0.0020744";"0.004464";"0.0017745";NA;"0.00276432";"0.0016804";"0.00322";"0.004838578";"0.001950081";"0.004407";"0.00598";"0.005488601"
"2002";"10";NA;"0.0023488";"0.002267";"0.001809";NA;"0.00253869";"0.0023917";"0.00326";"0.008453866";"0.002259592";"0.002247";"0.00799";"0.005260439"
"2002";"10";NA;"0.0023359";"0.002409";"0.0016784";NA;"0.00264007";"0.00188";"0.00348";"0.006516335";"0.001888287";"0.002385";"0.00684";"0.004910421"
"2002";"10";NA;"0.0026536";"0.006572";"0.0031082";NA;"0.00312797";"0.00295";"0.00543";"0.009863297";"0.002512178";"0.006497";"0.00996";"0.005673793"
"2002";"10";NA;"0.002625";"0.003581";"0.0025723";NA;"0.00277431";"0.00277";"0.00455";"0.009051231";"0.002531498";"0.003547";"0.00946";"0.006315726"
"2002";"10";NA;"0.0025289";"0.001551";"0.0019894";NA;"0.00257372";"0.0019307";"0.00354";"0.005767864";"0.002034367";"0.001536";"0.00674";"0.006503792"
"2002";"10";NA;"0.0027577";"0.003946";"0.0034515";NA;"0.00335966";"0.0020016";"0.00375";"0.003878352";"0.001810598";"0.003879";"0.0051";"0.007056866"
"2002";"10";NA;"0.0026801";"0.003769";"0.0023927";NA;"0.00278866";"0.0014741";"0.00287";"0.00299013";"0.001795561";"0.003712";"0.00398";"0.006449917"
"2002";"10";NA;"0.0028717";"0.005712";"0.0031249";NA;"0.00285077";"0.0025527";"0.00475";"0.006696296";"0.002514687";"0.005651";"0.00789";"0.005817466"
"2002";"10";NA;"0.0028552";"0.010157";"0.0061768";NA;"0.00413451";"0.00352";"0.0071";"0.008096824";"0.003007572";"0.010012";"0.0104";"0.006738404"
"2002";"10";NA;"0.002505";"0.004304";"0.0016567";NA;"0.00263416";"0.0022114";"0.00382";"0.004873205";"0.002422244";"0.004263";"0.00654";"0.006965765"
"2002";"10";NA;"0.0028523";"0.006558";"0.0025366";NA;"0.00286271";"0.00317";"0.00551";"0.008733312";"0.002917702";"0.006503";"0.00952";"0.008615873"
"2002";"10";NA;"0.0028898";"0.002268";"0.0025494";NA;"0.00253482";"0.00352";"0.00442";"0.009954033";"0.003220964";"0.002253";"0.00978";"0.008950922"
"2002";"10";NA;"0.0030995";"0.000116";"0.003441";NA;"0.00251106";"0.00377";"0.0045";"0.010250373";"0.003102966";"0.000115";"0.0085";"0.01202753"
"2002";"10";NA;"0.0028401";"4.6e-05";"0.0021662";NA;"0.00244794";"0.0027766";"0.00381";"0.006045481";"0.002254109";"4.6e-05";"0.00664";"0.007728151"
"2002";"10";NA;"0.0030663";"0.004235";"0.0028657";NA;"0.00302696";"0.0038502";"0.00669";"0.009541471";"0.002877642";"0.0042";"0.0102";"0.00888534"
"2002";"10";NA;"0.0030283";"0.005861";"0.0025765";NA;"0.00271805";"0.0035386";"0.00556";"0.008510188";"0.003236471";"0.005819";"0.00986";"0.009314112"
"2002";"10";NA;"0.0026682";"0.003662";"0.0015521";NA;"0.00254171";"0.00197";"0.00344";"0.003358802";"0.00227794";"0.003631";"0.00473";"0.006732495"
"2002";"10";NA;"0.0027436";"0.002747";"0.0016318";NA;"0.00242532";"0.00357";"0.00398";"0.00904277";"0.003615582";"0.002732";"0.00893";"0.01026979"
"2002";"10";NA;"0.0029828";"0.000672";"0.0021368";NA;"0.00234282";"0.0032";"0.00347";"0.006292626";"0.003452323";"0.000668";"0.0069";"0.00915667"
"2002";"10";NA;"0.0030908";"0.002765";"0.002315";NA;"0.00264717";"0.00265";"0.00454";"0.004769105";"0.002889746";"0.002745";"0.006";"0.006628986"
"2002";"10";NA;"0.00318";"0.002346";"0.0025238";NA;"0.00260681";"0.00328";"0.00505";"0.006264456";"0.003753459";"0.002332";"0.00766";"0.0087694"
"2002";"10";NA;"0.0032142";"0.000679";"0.0029438";NA;"0.00243729";"0.003604";"0.00434";"0.007540714";"0.004199069";"0.000675";"0.00823";"0.0118319"
"2002";"10";NA;"0.0035501";"0.001235";"0.004865";NA;"0.0029496";"0.00411";"0.00684";"0.007929986";"0.004254967";"0.001227";"0.00898";"0.01151067"
"2002";"10";NA;"0.0026394";"0.001857";"0.0014767";NA;"0.00261011";"0.00118";"0.00186";"0.001362022";"0.001735046";"0.001837";"0.00193";"0.00123104"
"2002";"10";NA;"0.0035687";"0.007538";"0.0043458";NA;"0.00298433";"0.00418";"0.00674";"0.006970403";"0.005455445";"0.007481";"0.00868";"0.009852909"
"2002";"10";NA;"0.0035922";"0.005376";"0.0044012";NA;"0.00291497";"0.00274";"0.0046";"0.003775219";"0.004115711";"0.005326";"0.00508";"0.008713786"
"2002";"10";NA;"0.0036315";"0.007502";"0.0044197";NA;"0.00355939";"0.003793";"0.00613";"0.004938076";"0.004971897";"0.007432";"0.00676";"0.01099602"
"2002";"10";NA;"0.003772";"0.012218";"0.0060471";NA;"0.00378607";"0.00563";"0.00999";"0.009806944";"0.00806414";"0.012129";"0.0129";"0.01561111"
"2002";"10";NA;"0.0037606";"0.010832";"0.0076046";NA;"0.0040739";"0.005279";"0.00857";"0.007058375";"0.00723359";"0.010745";"0.00979";"0.0169622"
"2002";"10";NA;"0.0038128";"0.012017";"0.0067126";NA;"0.0035183";"0.00595";"0.00989";"0.010366159";"0.00869029";"0.011949";"0.0133";"0.01722531"
"2002";"10";NA;"0.0036295";"0.009346";"0.0039978";NA;"0.00309983";"0.00549";"0.00828";"0.008965271";"0.007557245";"0.009302";"0.0113";"0.01453408"
"2002";"10";NA;"0.0034855";"0.007309";"0.0031671";NA;"0.00275321";"0.00572";"0.00744";"0.011422429";"0.008261805";"0.007286";"0.0125";"0.01409103"
"2002";"10";NA;"0.0033909";"0.005566";"0.0027968";NA;"0.00258857";"0.00614";"0.00654";"0.011995153";"0.0079462";"0.005552";"0.0117";"0.01596335"
"2002";"10";NA;"0.0033932";"0.004131";"0.003029";NA;"0.00253143";"0.004885";"0.00579";"0.007353423";"0.00652525";"0.00412";"0.00856";"0.01248373"
"2002";"10";NA;"0.0033992";"0.002718";"0.0029347";NA;"0.00247634";"0.00417";"0.00513";"0.006073641";"0.006194015";"0.002711";"0.00747";"0.01087227"
"2002";"10";NA;"0.002314";"0.001781";"0.001016";NA;"0.00225636";"0.00271";"0.00297";"0.002963832";"0.004109007";"0.001777";"0.0046";"0.008038474"
