Date(yyyy.mm.dd),Type,Prec,Tmean,Tmin,Tmax,Rad,Wind,dewp,vprs
1980.01.01,1,0,-8.2,-12.7,-3.7,3.8,0.2,-8,3.4
1980.01.02,1,0,-8.1,-10.9,-5.3,5.3,0.8,-11.1,2.6
1980.01.03,1,0,-15.3,-19.7,-10.9,5.8,1.2,-20.2,1.3
1980.01.04,1,0,-18.05,-22.5,-13.6,6.3,0.8,-26,0.8
1980.01.05,1,0,-16.75,-22.6,-10.9,6.4,1.1,-20,1.3
1980.01.06,1,0,-18.15,-22.6,-13.7,6.7,0.7,-25.7,0.8
1980.01.07,1,2.9,-6.95,-15.4,1.5,4.7,1.8,-1.3,5.5
1980.01.08,1,0,-9.75,-11.7,-7.8,5.7,2.1,-15.3,1.9
1980.01.09,1,0,-13.05,-15.5,-10.6,3.4,1.5,-19.9,1.3
1980.01.10,1,0.4,-17.3,-23.4,-11.2,4.9,0.9,-20.9,1.2
1980.01.11,1,6.8,-2.7,-10.2,4.8,2.4,2.4,2.4,7.2
1980.01.12,1,6.6,-3.3,-11.7,5.1,6.7,2.6,2.7,7.4
1980.01.13,1,0,-9.55,-13.7,-5.4,3.7,1,-15.8,1.8
1980.01.14,1,0.4,-1.85,-6.6,2.9,3.4,2,-0.6,5.8
1980.01.15,1,0,-4.5,-8.3,-0.7,7.8,1.3,-2.8,5
1980.01.16,1,0,-7.45,-10.8,-4.1,7.8,1.5,-13.9,2.1
1980.01.17,1,0,-1.55,-6.4,3.3,5.7,1.6,-2.9,4.9
1980.01.18,1,2.9,2.8,1.4,4.2,3.9,1.5,-0.5,5.9
1980.01.19,1,0,0.35,-1.9,2.6,6.8,1.5,-3.7,4.7
1980.01.20,1,0.4,-4.2,-7.7,-0.7,8.2,2,-5.8,4
1980.01.21,1,0,-10.85,-13.4,-8.3,8.2,2,-20.8,1.2
1980.01.22,1,2.3,-7.7,-13.6,-1.8,3.1,0.9,-6.9,3.6
1980.01.23,1,6.4,-5.75,-9.6,-1.9,7,2,-5.5,4.1
1980.01.24,1,0.8,-14.5,-18.1,-10.9,9.1,2.2,-27.4,0.7
1980.01.25,1,0,-13.4,-17.3,-9.5,9.3,1.9,-24.4,0.9
1980.01.26,1,0,-11.9,-15.2,-8.6,6.7,1.9,-21.4,1.1
1980.01.27,1,0,-7.4,-11.4,-3.4,7.1,1.3,-12.8,2.3
1980.01.28,1,0.7,-7.55,-9.2,-5.9,6.2,1,-13.4,2.2
1980.01.29,1,0,-12.5,-15.2,-9.8,8.7,1.5,-24.6,0.9
1980.01.30,1,0,-15.9,-18.9,-12.9,8.7,2.3,-28.9,0.6
1980.01.31,1,0,-17.5,-20.2,-14.8,8.1,2,-39.1,0.2
1980.02.01,1,0,-17.3,-21,-13.6,7.7,2.3,-32.4,0.4
1980.02.02,1,0,-17.75,-20.7,-14.8,7.7,2.5,-39.1,0.2
1980.02.03,1,0,-14.6,-17.9,-11.3,5.2,2.1,-24.7,0.9
1980.02.04,1,0,-13.1,-15.7,-10.5,7.7,1.8,-24.9,0.8
1980.02.05,1,0,-13.35,-17.4,-9.3,8.2,1.4,-22.8,1
1980.02.06,1,0,-12.15,-16.9,-7.4,8.6,0.8,-17.3,1.6
1980.02.07,1,0,-10.2,-14.9,-5.5,10.3,1.2,-16.2,1.7
1980.02.08,1,0,-11.15,-16.2,-6.1,10.8,1.7,-17.5,1.6
1980.02.09,1,0,-9.6,-13.9,-5.3,10.2,1.3,-17,1.6
1980.02.10,1,0,-11.85,-17.3,-6.4,11.5,1.1,-18.2,1.5
1980.02.11,1,0,-8.95,-14.5,-3.4,5.5,0.4,-10.4,2.8
1980.02.12,1,0.6,-6,-8.6,-3.4,9.1,1.3,-12.8,2.3
1980.02.13,1,0,-6.95,-12.2,-1.7,8.8,1.4,-10.5,2.8
1980.02.14,1,1.1,-4,-7.1,-0.9,7,1.3,-8.6,3.2
1980.02.15,1,0,-8.6,-12.2,-5,8.9,1.4,-12.8,2.3
1980.02.16,1,1.2,-8.65,-10.6,-6.7,6.7,1.2,-17.2,1.6
1980.02.17,1,0,-12.2,-15.9,-8.5,11.3,1.9,-21.4,1.1
1980.02.18,1,0,-8.6,-12.5,-4.7,11.4,2.6,-14,2.1
1980.02.19,1,1.3,-2.65,-7.5,2.2,8.1,2.6,-3.4,4.8
1980.02.20,1,0.6,-1.35,-5.1,2.4,5.1,1.3,-1.8,5.4
1980.02.21,1,0,-5.35,-11.1,0.4,12.9,1.5,-3,4.9
1980.02.22,1,0.4,-10.6,-16,-5.2,8,1.8,-10.4,2.8
1980.02.23,1,5.4,-7.7,-12.8,-2.6,12.7,0.9,-7.1,3.6
1980.02.24,1,14.7,-4.75,-10.9,1.4,9,1.3,-1.5,5.5
1980.02.25,1,0.7,-7.4,-12.5,-2.3,10,1.4,-7,3.6
1980.02.26,1,0,-18.7,-24.9,-12.5,13.2,1.7,-24.1,0.9
1980.02.27,1,2.7,-11.7,-17.4,-6,4.6,0.8,-11.7,2.5
1980.02.28,1,0.9,-14.4,-18.4,-10.4,10.4,1.6,-18.7,1.4
1980.03.01,1,0,-20.25,-22.6,-17.9,10.8,1.9,-38.6,0.2
1980.03.02,1,0,-17.8,-23.6,-12,14.6,1,-21.8,1.1
1980.03.03,1,0,-12.45,-20.4,-4.5,12.7,1.4,-9.6,3
1980.03.04,1,0,-5.55,-10.9,-0.2,13.8,1.8,-3.5,4.7
1980.03.05,1,1.6,-3.8,-8,0.4,6.9,1,-2,5.3
1980.03.06,1,0,-5.7,-11.7,0.3,14.9,1.8,-2.2,5.2
1980.03.07,1,4,-4.8,-8.5,-1.1,12.1,1.1,-5,4.2
1980.03.08,1,0,-5.2,-9.4,-1,7.6,1.1,-4.2,4.5
1980.03.09,1,1.9,-6.4,-12.7,-0.1,15.8,1,-4.2,4.5
1980.03.10,1,0,-3.7,-8.1,0.7,10.8,1.8,-1.7,5.4
1980.03.11,1,3.2,-4.3,-9.5,0.9,13.9,1.9,-1.6,5.4
1980.03.12,1,0.7,-13.8,-18.1,-9.5,18.3,2.5,-17.3,1.6
1980.03.13,1,0,-14.75,-22.1,-7.4,14.3,1.1,-13.3,2.2
1980.03.14,1,10.8,-3.75,-5.8,-1.7,7.2,0.5,-5,4.2
1980.03.15,1,2.6,-7.65,-11.5,-3.8,15.5,2.6,-8.4,3.3
1980.03.16,1,0,-13.2,-21.5,-4.9,15.7,0.8,-9.8,2.9
1980.03.17,1,0,-2.2,-7.7,3.3,10.5,1.8,0.6,6.4
1980.03.18,1,6.1,1.45,-1.7,4.6,14.2,1.9,3.5,7.9
1980.03.19,1,0.6,0.05,-5.1,5.2,19,1.2,-3.4,4.7
1980.03.20,1,0,6.65,0.5,12.8,17.9,1.4,3.5,7.9
1980.03.21,1,14.9,6.3,2.7,9.9,6,1.9,6.4,9.6
1980.03.22,1,34.4,4,1.9,6.1,11.6,2,-0.9,5.7
1980.03.23,1,0,4.15,-2,10.3,19.5,0.8,-2.2,5.2
1980.03.24,1,0,5.9,0.2,11.6,17.4,0.6,-1.1,5.6
1980.03.25,1,6.1,3.85,2.1,5.6,7.7,1.2,0.2,6.2
1980.03.26,1,6.8,4.3,1,7.6,15.9,1.1,-1.4,5.5
1980.03.27,1,0,5.15,-1.1,11.4,19.7,0.3,-4,4.5
1980.03.28,1,0,7.25,0.9,13.6,20.8,0.5,-2.9,4.9
1980.03.29,1,0,5.65,0.7,10.6,14.4,1.1,-1.2,5.6
1980.03.30,1,0,4.55,-1.6,10.7,22.7,1.3,-6.7,3.7
1980.03.31,1,0,3.9,-0.1,7.9,11.9,1.4,-7.1,3.6
1980.04.01,1,0,5.4,-1.3,12.1,18.8,0.3,-9.4,3
1980.04.02,1,0,5.3,-1.6,12.2,17.2,1,-5.9,3.9
1980.04.03,1,0,2.45,-4.4,9.3,18.6,0.8,-10.7,2.7
1980.04.04,1,6,3.95,1,6.9,6.9,1.1,3.2,7.7
1980.04.05,1,1.8,5.6,1,10.2,19.8,1.3,-1.9,5.3
1980.04.06,1,0,1.75,-3.1,6.6,22.4,0.9,-16.8,1.7
1980.04.07,1,0,7.3,-2.1,16.7,15.9,1.3,2.9,7.5
1980.04.08,1,0,11.3,6.5,16.1,11.8,1.5,6.9,10
1980.04.09,1,25.3,11,8.7,13.3,4.1,1.5,10.9,13.1
1980.04.10,1,5.8,10.85,8.3,13.4,10.2,0.8,6,9.4
1980.04.11,1,1.6,7.65,3.8,11.5,14,1.3,2.3,7.2
1980.04.12,1,4.8,7.1,3.3,10.9,8.5,0.7,4.3,8.3
1980.04.13,1,7.9,6.5,3.6,9.4,18.1,1.5,8,10.7
1980.04.14,1,0,3.05,-2,8.1,10.8,0.6,1.5,6.8
1980.04.15,1,12.2,7.9,5.6,10.2,15.9,1.3,6.9,10
1980.04.16,1,5.5,-0.35,-4.3,3.6,19.7,1.2,-2.2,5.2
1980.04.17,1,0,1.45,-5.4,8.3,24.2,0.8,-13.1,2.3
1980.04.18,1,0,4.5,-1.7,10.7,21.6,0.9,-6.1,3.9
1980.04.19,1,0,5.7,-2.6,14,23.5,0.1,-5.7,4
1980.04.20,1,0,11,6.6,15.4,9.1,0.9,8,10.8
1980.04.21,1,0,5.85,1.5,10.2,26.8,1.3,-9,3.1
1980.04.22,1,0,4.25,-3,11.5,26.6,0.8,-6.9,3.7
1980.04.23,1,0,6.8,-0.8,14.4,23.4,0.9,0.5,6.3
1980.04.24,1,0,8.95,4.3,13.6,13.9,0.7,2.5,7.3
1980.04.25,1,5.5,9.65,6.4,12.9,7.9,0.8,10.2,12.5
1980.04.26,1,11,8.9,4.4,13.4,11.9,0.4,1.1,6.6
1980.04.27,1,0,11.45,5.3,17.6,25.6,0.3,0.7,6.4
1980.04.28,1,0,10.3,9.7,10.9,4.1,1.2,6.2,9.5
1980.04.29,1,10.8,8.9,6.8,11,8.5,1.2,8.2,10.9
