Date(yyyy.mm.dd),Type,Prec,Tmean,Tmin,Tmax,Rad,Wind,dewp,vprs
1980.01.01,1,4.3,16.65,10.9,22.4,7.8,2.9,-1.7,5.4
1980.01.02,1,0,16.9,10,23.8,12.3,0.7,-1.2,5.6
1980.01.03,1,0,16.3,8.8,23.8,13.4,1.6,-3,4.9
1980.01.04,1,0,14.8,8,21.6,13.9,0.9,-7.5,3.5
1980.01.05,1,0,14.35,7.6,21.1,14.2,2.1,-10.6,2.8
1980.01.06,1,0,14.05,6.8,21.3,14.7,2.8,-14,2.1
1980.01.07,1,0,13.9,6.2,21.6,14.8,2.7,-15.3,1.9
1980.01.08,1,0,14.1,6.3,21.9,15,2,-21.8,1.1
1980.01.09,1,0,14.4,6.7,22.1,14.4,2.7,-22.4,1
1980.01.10,1,0,15.05,7.1,23,15.1,3.1,-14.8,2
1980.01.11,1,0,14.65,6.4,22.9,15.5,2.4,-20.5,1.2
1980.01.12,1,0,16.35,8.9,23.8,15.1,2,-18.7,1.4
1980.01.13,1,0,14.9,7.2,22.6,12.2,2.9,-25.2,0.8
1980.01.14,1,0,14.25,6.2,22.3,16,2.5,-28.3,0.6
1980.01.15,1,0,14.75,6.7,22.8,14.7,0.5,-27.9,0.6
1980.01.16,1,0,16.65,8.4,24.9,14.6,0.6,-20.4,1.2
1980.01.17,1,0,17.4,9.7,25.1,15.9,2,-21.7,1.1
1980.01.18,1,0,17.5,9.1,25.9,15.5,1.4,-11.5,2.5
1980.01.19,1,0,18.9,11.2,26.6,15.7,2.6,-8.5,3.2
1980.01.20,1,0,16.4,9.6,23.2,6.5,2.8,-8.8,3.2
1980.01.21,1,0,16.3,9,23.6,16.2,2.4,-13.4,2.2
1980.01.22,1,0,14.75,7.1,22.4,16.9,2.9,-18.1,1.5
1980.01.23,1,0,14.65,6.4,22.9,17.4,3.4,-20.8,1.2
1980.01.24,1,0,15.95,7.4,24.5,17.3,3.3,-22,1.1
1980.01.25,1,0,16.95,8.7,25.2,17.2,0.8,-19.4,1.3
1980.01.26,1,0,17.95,10.1,25.8,17.5,0.7,-21.7,1.1
1980.01.27,1,1.8,18.25,10.4,26.1,16.8,1.3,-8.1,3.3
1980.01.28,1,0,15.8,8.7,22.9,17.8,3.5,-11.1,2.6
1980.01.29,1,0,14.25,7.4,21.1,18.6,4.7,-17.9,1.5
1980.01.30,1,0,14.5,6.8,22.2,18.7,3.6,-21.1,1.2
1980.01.31,1,0,16.25,7.8,24.7,18.6,1.6,-15.7,1.8
1980.02.01,1,0,16.3,8.9,23.7,17.1,0.3,-19.5,1.3
