"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.002;9e-04;NA;NA;0.0025298;NA;0.000332;0.00381;NA;9.48e-06;0.00044124;NA;NA;NA;NA;0.000323815
2007;NA;0.002;6e-04;NA;NA;0.0023638;NA;0.000357;0.00279;NA;1.14008e-05;0.000514241;NA;NA;NA;NA;0.001200191
2007;NA;0.001;3e-04;NA;NA;0.0026376;NA;0.000301;0.00134;NA;1.40142e-05;0.000479358;NA;NA;NA;NA;0.001085202
2007;NA;0.001;3e-04;NA;NA;0.0029223;NA;0.000266;0.00142;NA;1.36307e-05;0.000412512;NA;NA;NA;NA;0.00091859
2007;NA;0.001;2e-04;NA;NA;0.0028987;NA;0.00016;0.00018;NA;1.16822e-05;0.000412737;NA;NA;NA;NA;0.000716848
2007;NA;0.001;0;NA;NA;0.0026461;NA;8e-05;1e-05;NA;1.14176e-05;0.000290398;NA;NA;NA;NA;0.000403879
2007;NA;0.001;0;2.78181818181818e-05;NA;0.0024561;NA;6e-05;2e-05;NA;1.08083e-05;0.000131059;NA;NA;NA;NA;0.000651927
2007;NA;0.001;1e-04;3.02727272727273e-05;NA;0.0021949;NA;5.5e-05;0.00145;NA;9.49e-06;0.000112913;NA;NA;NA;NA;0.000903597
2007;NA;0.001;0;5.18181818181818e-05;NA;0.0026668;NA;5.8e-05;8e-05;NA;9.88e-06;0.000342049;NA;NA;NA;NA;0.000435425
2007;NA;0.001;0;4.47272727272727e-05;NA;0.00221;NA;5e-05;1e-05;NA;1.14385e-05;0.000131388;NA;NA;NA;NA;0.000361341
2007;NA;0.001;0;4.03636363636364e-05;NA;0.0021277;NA;4.6e-05;1e-05;NA;1.1524e-05;0;NA;NA;NA;NA;0.000509289
2007;NA;0;0;3.27272727272727e-05;NA;0.0019654;NA;4.5e-05;0;NA;1.07155e-05;0;NA;NA;NA;NA;0.000343353
2007;NA;0;0;1.44545454545455e-05;NA;0.0018926;NA;4.4e-05;0;NA;9.03e-06;0;NA;NA;NA;NA;0.000366344
2007;NA;0.001;0;9.81818181818182e-06;NA;0.001844;NA;4.4e-05;1e-05;NA;8.28e-06;0;NA;NA;NA;NA;0.000504301
2007;NA;0.001;0;1.44545454545455e-05;NA;0.0018495;NA;4.4e-05;7e-05;NA;7.84e-06;0;NA;NA;NA;NA;0.000407489
2007;NA;0;0;2.4e-05;NA;0.001753;NA;4.3e-05;0;NA;7.61e-06;0;NA;NA;NA;NA;0.000374428
2007;NA;0;0;1.74545454545455e-05;NA;0.0017158;NA;4.3e-05;0;NA;7.46e-06;0;NA;NA;NA;NA;0.000233195
2007;NA;0.001;0;1.2e-05;NA;0.0016874;NA;4.3e-05;0;NA;7.48e-06;0;NA;NA;NA;NA;0.000137566
2007;NA;0.001;0;1.36363636363636e-05;NA;0.0016646;NA;4.3e-05;1e-05;NA;7.62e-06;0;NA;NA;NA;NA;0.000409551
2007;NA;0;0;1.63636363636364e-05;NA;0.0016405;NA;4.3e-05;0;NA;7.86e-06;0;NA;NA;NA;NA;0.000802569
2007;NA;0;0;1.39090909090909e-05;NA;0.0016103;NA;4.3e-05;0;NA;7.91e-06;0;NA;NA;NA;NA;0.000538698
2007;NA;0;0;1.03636363636364e-05;NA;0.0015896;NA;4.3e-05;0;NA;8.02e-06;0;NA;NA;NA;NA;9.22e-05
2007;NA;0;0;7.36363636363636e-06;NA;0.0015726;NA;4.3e-05;0;NA;8.77e-06;0;NA;NA;NA;NA;0.000423607
2007;NA;0;0;7.09090909090909e-06;NA;0.0015569;NA;4.3e-05;0;NA;1.18195e-05;0;NA;NA;NA;NA;5.55e-05
2007;NA;0;0;9.27272727272727e-06;NA;0.0015386;NA;4.3e-05;0;NA;1.21844e-05;0;NA;NA;NA;NA;0.000157121
2007;NA;0;0;8.45454545454545e-06;NA;0.0015236;NA;4.3e-05;0;NA;1.04309e-05;0;NA;NA;NA;NA;0.000102361
2007;NA;0;0;6.81818181818182e-06;NA;0.0015112;NA;4.3e-05;0;NA;8.48e-06;0;NA;NA;NA;NA;0.000106446
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.001;0;1.39090909090909e-05;NA;0.0016491;NA;4.3e-05;1e-05;NA;8.04e-06;0;NA;NA;NA;NA;0.000380643
2007;NA;0.001;0;1.96363636363636e-05;NA;0.0016325;NA;4.3e-05;0;NA;8.09e-06;0;NA;NA;NA;NA;0.000249074
2007;NA;0;0;1.77272727272727e-05;NA;0.0016154;NA;4.2e-05;0;NA;7.99e-06;0;NA;NA;NA;NA;0.000193988
2007;NA;0;0;1.30909090909091e-05;NA;0.0016006;NA;4.2e-05;0;NA;7.88e-06;0;NA;NA;NA;NA;0.000222918
2007;NA;0;0;9e-06;NA;0.0015908;NA;4.2e-05;0;NA;7.77e-06;0;NA;NA;NA;NA;0.000342101
2007;NA;0;0;1.03636363636364e-05;NA;0.0015787;NA;4.2e-05;0;NA;7.65e-06;0;NA;NA;NA;NA;0.000197331
2007;NA;0.001;0;1.06363636363636e-05;NA;0.0015687;NA;4.2e-05;0;NA;7.56e-06;0;NA;NA;NA;NA;1.89e-05
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0;0;1.17272727272727e-05;NA;0.0015471;NA;4.2e-05;0;NA;7.46e-06;0;NA;NA;NA;NA;0.000322296
2007;NA;0.001;0;1.22727272727273e-05;NA;0.0015382;NA;4.2e-05;0;NA;7.38e-06;0;NA;NA;NA;NA;7.76e-05
2007;NA;0;0;1.30909090909091e-05;NA;0.0015263;NA;4.2e-05;0;NA;7.3e-06;0;NA;NA;NA;NA;0.000512388
2007;NA;0;0;1.22727272727273e-05;NA;0.0015123;NA;4.2e-05;0;NA;7.24e-06;0;NA;NA;NA;NA;0.000154822
2007;NA;0;0;9e-06;NA;0.0015499;NA;4.2e-05;0;NA;7.18e-06;0;NA;NA;NA;NA;0.000244874
2007;NA;0;0;9.27272727272727e-06;NA;0.0014941;NA;4.2e-05;0;NA;7.1e-06;0;NA;NA;NA;NA;0.000143033
2007;NA;0.001;0;8.45454545454545e-06;NA;0.0014905;NA;4.2e-05;0;NA;7.01e-06;0;NA;NA;NA;NA;0.000235564
2007;NA;0.001;0;1.25454545454545e-05;NA;0.0014823;NA;4.2e-05;0;NA;6.89e-06;0;NA;NA;NA;NA;0.000181908
2007;NA;0;0;1.66363636363636e-05;NA;0.0014708;NA;4.2e-05;0;NA;6.78e-06;0;NA;NA;NA;NA;0.000361268
2007;NA;0;0;1.33636363636364e-05;NA;0.0014588;NA;4.2e-05;0;NA;6.67e-06;0;NA;NA;NA;NA;0.000533464
2007;NA;0.001;0;9.81818181818182e-06;NA;0.0014547;NA;4.2e-05;0;NA;6.55e-06;0;NA;NA;NA;NA;0.000138854
2007;NA;0.001;0;1.17272727272727e-05;NA;0.0014485;NA;4.2e-05;0;NA;6.43e-06;0;NA;NA;NA;NA;0.000199251
2007;NA;0.001;0;1.66363636363636e-05;NA;0.0014387;NA;4.2e-05;0;NA;6.31e-06;0;NA;NA;NA;NA;0.000286885
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
