"Year";"Type";"M03";"M05";"M06";"M07";"M08";"M14";"M16";"M21";"M22";"M23";"M24";"M28";"Obs"
"2003";"10";NA;"0.0009642";"0.000541485";"-0.0013121";NA;"0.000482416";"-2.4488e-05";"0.000657";"0.003006818";"0.00035902";"0.000368309";"-0.000666107";"0.001153319"
"2003";"10";NA;"0.0006509";"0.001235456";"-0.0024347";NA;"0.000464703";"6.66999999999999e-06";"0.000657";"0.00204873";"0.00059732";"0.000972352";"-0.000484";"0.001452674"
"2003";"10";NA;"0.0009623";"0.000450801";"-3.06e-05";NA;"0.000483687";"2.144e-05";"0.000242";"0.002380742";"0.000529694";"0.000337322";"-0.000678884";"0.001018944"
"2003";"10";NA;"0.0006396";"7.1429e-05";"0.0004206";NA;"0.000335489";"-2.27e-07";"0.00064839";"0.002437137";"0.000637723";"6.5795e-05";"0.000111";"0.001404812"
"2003";"10";NA;"0.0005853";"3.311e-06";"0.0003578";NA;"0.000301955";"-4.4627e-05";"0.000657";"0.002035726";"0.00104651";"1.369e-05";"8.14e-05";"0.000848228"
"2003";"10";NA;"0.0005376";"2.43e-07";"0.0003148";NA;"0.000285231";"-2.8e-08";"0.000489";"0.002410054";"0.000690674";"3.617e-06";"7.25e-05";"0.000918745"
"2003";"10";NA;"0.000505";"4.2e-08";"0.0002911";NA;"0.000268729";"-4.338e-06";"-0.001823";"0.002238562";"0.000510615";"9.61e-07";"6.61e-05";"0.000968958"
"2003";"10";NA;"0.0004704";"6e-09";"0.0002624";NA;"0.000268891";"0";"-0.000763";"0.002521697";"0.000379369";"5.49e-07";"6.76e-05";"0.001165687"
"2003";"10";NA;"0.0004643";"6e-09";"0.0002821";NA;"0.000261721";"0";"0.000657";"0.002243033";"0.000399447";"5.74e-07";"6.9e-05";"0.000856042"
"2003";"10";NA;"0.0004562";"5e-09";"0.0002875";NA;"0.00023631";"-4.613e-06";"0.000657";"0.002156097";"0.000319498";"5.05e-07";"5.52e-05";"0.000952552"
"2003";"10";NA;"0.0004479";"4e-09";"0.0002894";NA;"0.000224885";"0";"0.000657";"0.001893253";"0.000159072";"4.74e-07";"4.64e-05";"0.000675753"
"2003";"10";NA;"0.0004402";"3e-09";"0.0002898";NA;"0.000227544";"-2.051e-06";"0.000657";"0.001768966";"0.000141002";"4.4e-07";"4.6e-05";"0.000741762"
"2003";"10";NA;"0.0004327";"2e-09";"0.0002894";NA;"0.000241962";"-5.0279e-05";"0.000657";"0.001642613";"0.000171251";"4.2e-07";"5.37e-05";"0.000518481"
"2003";"10";NA;"0.0004232";"1.025e-05";"0.0001113";NA;"0.00027899";"-0.000154125";"0.000657";"0.001679375";"-0.000435423";"1.0522e-05";"7.02e-05";"0.000229297"
"2003";"10";NA;"0.0004367";"0.000189531";"-0.000978";NA;"0.000333042";"-0.000211922";"0.000657";"0.001671199";"-0.001627146";"0.000176637";"-9.2605e-05";"-0.000121211"
"2003";"10";NA;"0.0004522";"1.049e-05";"0.0002958";NA;"0.000282606";"-6.5402e-05";"0.000657";"0.00150293";"-0.000775977";"1.7156e-05";"7.49e-05";"0.000397819"
"2003";"10";NA;"0.0004434";"1.796e-06";"0.0002997";NA;"0.000267976";"-9.533e-06";"0.000657";"0.001459499";"0.000239895";"5.336e-06";"6.48e-05";"0.000509788"
