"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2008;7;0.001;NA;NA;-0.0042195;-9e-05;NA;0.000249;NA;NA;4.47779e-05;NA;0.00022;9.15e-05;NA;NA;0.000343183
2008;7;0.001;NA;NA;-0.0033417;-9e-05;NA;0.000216;NA;NA;4.05492e-05;NA;2e-04;0.0001944;NA;NA;0.000142565
2008;7;0.001;NA;NA;-0.0040589;-9e-05;NA;0.000195;NA;NA;4.20053e-05;NA;0.00016;0.0001491;NA;NA;1.7075e-05
2008;7;0.001;NA;NA;-0.0053084;-0.00013;NA;-0.000847;NA;NA;4.78634e-05;NA;1e-04;-7.99e-05;NA;NA;-0.000720953
2008;7;0.002;NA;NA;-0.0063924;-0.00017;NA;-0.000922;NA;NA;5.81066e-05;NA;1e-04;-1.7e-05;NA;NA;0.000537413
2008;7;0.001;NA;NA;-0.0064943;-0.00014;NA;-0.000538;NA;NA;4.89473e-05;NA;0.00011;-0.0001143;NA;NA;0.000336832
2008;7;0.002;NA;NA;-0.0063948;-0.00014;NA;-0.002254;NA;NA;6.74469e-05;NA;0.00014;-0.0001806;NA;NA;0.000473424
2008;7;0.001;NA;NA;-0.0059727;-0.00022;NA;-0.000233;NA;NA;5.25796e-05;NA;0.00023;6.23e-05;NA;NA;0.00111423
2008;7;0.001;NA;NA;-0.0064479;-0.00021;NA;-0.000971;NA;NA;5.93341e-05;NA;0.00031;-3.77e-05;NA;NA;0.000714877
2008;7;0.001;NA;NA;-0.0064129;-0.00022;NA;-0.001119;NA;NA;6.02274e-05;NA;0.00033;-0.0001197;NA;NA;0.001242948
2008;7;0.002;NA;NA;-0.0065935;-0.00022;NA;-0.001946;NA;NA;6.55676e-05;NA;0.00033;-0.0001374;NA;NA;0.001425512
2008;7;0.001;NA;NA;-0.0063181;-0.00025;NA;-0.001069;NA;NA;5.34191e-05;NA;0.00034;1.16e-05;NA;NA;0.000273059
2008;7;0.001;NA;NA;-0.0062712;-0.00021;NA;-0.001426;NA;NA;5.68698e-05;NA;3e-04;-1.47e-05;NA;NA;-0.000383809
2008;7;0.001;NA;NA;-0.0063702;-0.00023;NA;-0.00157;NA;NA;5.97131e-05;NA;0.00031;-4.47e-05;NA;NA;0.000434941
2008;7;0.001;NA;NA;-0.0072195;-0.00028;NA;-0.001551;NA;NA;6.26083e-05;NA;0.00031;-1.61e-05;NA;NA;0.000911739
2008;7;0.001;NA;NA;-0.007359;-0.00031;NA;-0.000523;NA;NA;5.31617e-05;NA;0.00028;2.57e-05;NA;NA;0.00044196
2008;7;0.001;NA;NA;-0.0075731;-0.00025;NA;-0.00066;NA;NA;5.80521e-05;NA;0.00024;-0.0001482;NA;NA;0.000112635
2008;7;0.002;NA;NA;-0.0075552;-0.00025;NA;-0.000941;NA;NA;7.33496e-05;NA;0.00027;-0.0002349;NA;NA;-0.000326041
2008;7;0.002;NA;NA;-0.00743;-0.00028;NA;-0.001937;NA;NA;8.59743e-05;NA;0.00031;-0.0002756;NA;NA;5.3291e-05
2008;7;0.002;NA;NA;-0.0076237;-0.00036;NA;-0.001916;NA;NA;7.85537e-05;NA;4e-04;-0.0001844;NA;NA;-0.000365748
2008;7;0.002;NA;NA;-0.0077901;-0.00034;NA;-0.001926;NA;NA;7.49976e-05;NA;0.00047;-0.0001473;NA;NA;0.000185521
2008;7;0.001;NA;NA;-0.00798;-0.00033;NA;-0.000973;NA;NA;5.98333e-05;NA;0.00052;-0.0001018;NA;NA;-0.000127634
2008;7;0.001;NA;NA;-0.0082049;-0.00022;NA;-0.001068;NA;NA;6.08371e-05;NA;0.00049;-0.0001977;NA;NA;9.6731e-05
2008;7;0.001;NA;NA;-0.0083644;-0.00023;NA;-0.000682;NA;NA;6.19254e-05;NA;0.00047;-0.0001217;NA;NA;-0.000115555
2008;7;0.001;NA;NA;-0.0084186;-0.00023;NA;-3.9e-05;NA;NA;5.15847e-05;NA;0.00039;-0.0003105;NA;NA;-0.000257814
2008;7;0.001;NA;NA;-0.0086045;-0.00016;NA;-0.000394;NA;NA;5.39955e-05;NA;0.00032;-0.0001227;NA;NA;-0.000628122
2008;7;0.001;NA;NA;-0.0087113;-0.00018;NA;-1.9e-05;NA;NA;5.11993e-05;NA;0.00026;-0.0001421;NA;NA;1.4144e-05
2008;7;0.001;NA;NA;-0.0082535;-0.00015;NA;0.00022;NA;NA;5.11812e-05;NA;0.00023;-9.5e-06;NA;NA;0.000150671
2008;7;0.001;NA;NA;-0.0073756;-0.00014;NA;0.000276;NA;NA;4.80044e-05;NA;0.00018;0.0001364;NA;NA;0.000197456
2008;7;0.001;NA;NA;-0.0082589;-0.00016;NA;0.000216;NA;NA;4.89688e-05;NA;0.00013;6.72e-05;NA;NA;2.9879e-05
2008;7;0.001;NA;NA;-0.0093106;-0.00015;NA;-3.99999999999999e-06;NA;NA;4.16361e-05;NA;1e-04;-9.5e-05;NA;NA;0.000652047
2008;7;0.001;NA;NA;-0.0102222;-0.00018;NA;-0.000241;NA;NA;4.999e-05;NA;8e-05;-0.000116;NA;NA;0.000680989
2008;7;0.001;NA;NA;-0.0101296;-0.00018;NA;1.99999999999999e-06;NA;NA;2.62174e-05;NA;6e-05;-6.86e-05;NA;NA;-0.000468643
2008;7;0.001;NA;NA;-0.0107345;-0.00016;NA;-0.000403;NA;NA;5.16868e-05;NA;7e-05;-0.0002248;NA;NA;-0.000331568
2008;7;0.001;NA;NA;-0.0107729;-0.00017;NA;-0.000999;NA;NA;5.55377e-05;NA;1e-04;-0.0001689;NA;NA;0.000567804
2008;7;0.001;NA;NA;-0.0111191;-0.00022;NA;-0.001942;NA;NA;6.61999e-05;NA;0.00013;-0.0004714;NA;NA;0.000610805
2008;7;0.001;NA;NA;-0.0112723;-0.00023;NA;-0.001242;NA;NA;6.08068e-05;NA;0.00017;-0.0004536;NA;NA;-0.000676955
2008;7;0.001;NA;NA;-0.0114575;-2e-04;NA;-0.000858;NA;NA;5.95815e-05;NA;2e-04;-0.0004722;NA;NA;-0.000561544
2008;7;0.001;NA;NA;-0.0115764;-0.00017;NA;-0.001134;NA;NA;6.55863e-05;NA;0.00026;-0.0005574;NA;NA;-0.000125013
2008;7;0.001;NA;NA;-0.0117514;-0.00019;NA;-0.001219;NA;NA;6.70936e-05;NA;0.00032;-0.0005793;NA;NA;-0.000397543
2008;7;0.001;NA;NA;-0.0120116;-0.00019;NA;-0.000808;NA;NA;6.32981e-05;NA;0.00038;-0.0005227;NA;NA;-0.000175538
2008;7;0.001;NA;NA;-0.0122184;-0.00017;NA;-0.000895;NA;NA;6.43135e-05;NA;0.00039;-0.0005452;NA;NA;-0.000666722
2008;7;0.001;NA;NA;-0.0124271;-0.00018;NA;-0.000902;NA;NA;6.45539e-05;NA;4e-04;-0.0005469;NA;NA;-0.000394357
2008;7;0.001;NA;NA;-0.0126354;-0.00019;NA;-0.000838;NA;NA;6.36381e-05;NA;4e-04;-0.0004945;NA;NA;-0.000163164
2008;7;0.001;NA;NA;-0.0118012;-0.00019;NA;0.000274;NA;NA;5.26546e-05;NA;0.00038;-3.64e-05;NA;NA;-0.001305651
2008;7;0.001;NA;NA;-0.0095879;-0.00015;NA;0.000349;NA;NA;4.56299e-05;NA;3e-04;0.0001776;NA;NA;-0.000899545
2008;7;0.001;NA;NA;-0.0121897;-0.00015;NA;0.000256;NA;NA;5.01814e-05;NA;2e-04;-5.95e-05;NA;NA;-0.000222291
2008;7;0.001;NA;NA;-0.0132157;-0.00014;NA;0.000175;NA;NA;5.25189e-05;NA;0.00014;-0.0003106;NA;NA;-9.8409e-05
2008;7;0.001;NA;NA;-0.0137037;-0.00012;NA;-0.000138;NA;NA;4.96959e-05;NA;0.00011;-0.0005678;NA;NA;-0.000290385
2008;7;0.001;NA;NA;-0.01388;-0.00013;NA;-0.000398;NA;NA;5.66356e-05;NA;9e-05;-0.0008013;NA;NA;-0.00019908
2008;7;0.001;NA;NA;-0.0141086;-0.00014;NA;-0.000488;NA;NA;6.59112e-05;NA;0.00012;-0.0005264;NA;NA;-0.000262106
2008;7;0.001;NA;NA;-0.0142341;-0.00021;NA;-0.001347;NA;NA;6.81416e-05;NA;0.00019;-0.0006197;NA;NA;-0.000142928
2008;7;0.001;NA;NA;-0.0141226;-0.00022;NA;-0.002253;NA;NA;7.88067e-05;NA;0.00025;-0.0008377;NA;NA;-0.000421119
2008;7;0.001;NA;NA;-0.0142862;-0.00025;NA;-0.001655;NA;NA;7.38168e-05;NA;0.00032;-0.0007838;NA;NA;-0.000196967
2008;7;0.001;NA;NA;-0.0136827;-0.00023;NA;-0.001292;NA;NA;7.44133e-05;NA;0.00037;-0.0010405;NA;NA;-9.3627e-05
2008;7;0.001;NA;NA;-0.0150083;-0.00018;NA;-0.001291;NA;NA;8.02956e-05;NA;0.00045;-0.0008278;NA;NA;-0.000338612
2008;7;0.001;NA;NA;-0.0154286;-0.00029;NA;-0.001388;NA;NA;7.16262e-05;NA;5e-04;-0.000729;NA;NA;-0.000699808
2008;7;0.001;NA;NA;-0.0156742;-0.00024;NA;-0.000919;NA;NA;6.40599e-05;NA;0.00048;-0.0006399;NA;NA;-0.000148358
2008;7;0.001;NA;NA;-0.015726;-0.00022;NA;-0.000839;NA;NA;8.12805e-05;NA;0.00046;-0.0009681;NA;NA;-0.000289644
2008;7;0.001;NA;NA;-0.0150349;-0.00029;NA;-0.002098;NA;NA;8.37561e-05;NA;0.00044;-0.0009012;NA;NA;-0.000796388
2008;7;0.001;NA;NA;-0.0151054;-0.00029;NA;-0.002178;NA;NA;8.6366e-05;NA;0.00045;-0.0009786;NA;NA;-0.000462766
2008;7;0.001;NA;NA;-0.015723;-3e-04;NA;-0.000962;NA;NA;7.03576e-05;NA;0.00049;-0.0007506;NA;NA;-3.4203e-05
2008;7;0.001;NA;NA;-0.0152593;-0.00023;NA;-1.49999999999999e-05;NA;NA;5.56896e-05;NA;0.00051;-0.0002086;NA;NA;0
2008;7;0.001;NA;NA;-0.0155652;-2e-04;NA;0.000256;NA;NA;5.36361e-05;NA;0.00043;-0.0002509;NA;NA;3.29e-06
2008;7;0.001;NA;NA;-0.0163496;-0.00017;NA;0.000216;NA;NA;5.5257e-05;NA;0.00035;-0.0005341;NA;NA;9.1892e-05
2008;7;0.001;NA;NA;-0.016709;-0.00015;NA;-0.000728;NA;NA;6.62602e-05;NA;0.00026;-0.000736;NA;NA;-0.000551228
2008;7;0.001;NA;NA;-0.016804;-2e-04;NA;-0.000313;NA;NA;6.14152e-05;NA;0.00021;-0.0008244;NA;NA;-0.00055329
2008;7;0.001;NA;NA;-0.0172981;-0.00018;NA;-0.000677;NA;NA;6.54289e-05;NA;0.00019;-0.0005998;NA;NA;-0.001541327
2008;7;0.001;NA;NA;-0.0175622;-0.00023;NA;-0.000629;NA;NA;6.02422e-05;NA;0.00019;-0.0006866;NA;NA;-0.000105462
2008;7;0.001;NA;NA;-0.0172909;-2e-04;NA;-0.001552;NA;NA;7.30053e-05;NA;0.00019;-0.0013572;NA;NA;0.000789184
2008;7;0.001;NA;NA;-0.0178265;-0.00027;NA;-0.001257;NA;NA;7.70226e-05;NA;0.00027;-0.001066;NA;NA;-0.001189663
2008;7;0.001;NA;NA;-0.018272;-0.00023;NA;-0.001065;NA;NA;6.78561e-05;NA;0.00029;-0.0010652;NA;NA;-0.002725489
2008;7;0.001;NA;NA;-0.017156;-0.00024;NA;-0.001845;NA;NA;8.85735e-05;NA;0.00033;-0.001401;NA;NA;-0.000671736
2008;7;0.001;NA;NA;-0.0157478;-0.00028;NA;-0.001608;NA;NA;9.02722e-05;NA;0.00041;-0.0015789;NA;NA;-0.002698591
2008;7;0.001;NA;NA;-0.0152577;-0.00029;NA;-0.001397;NA;NA;8.18731e-05;NA;5e-04;-0.0012236;NA;NA;-0.001521738
2008;7;0.001;NA;NA;-0.014386;-0.00028;NA;-0.000209;NA;NA;6.00488e-05;NA;0.00049;-0.0006606;NA;NA;-0.002684948
2008;7;0.001;NA;NA;-0.0134411;-0.00021;NA;0.000285;NA;NA;5.58176e-05;NA;0.00045;-0.0003924;NA;NA;-0.002236093
2008;7;0.001;NA;NA;-0.0127313;-0.00018;NA;0.000124;NA;NA;5.87132e-05;NA;4e-04;-0.000542;NA;NA;-0.002430086
2008;7;0.001;NA;NA;-0.0120283;-0.00018;NA;0.000151;NA;NA;5.90078e-05;NA;0.00032;-0.0008324;NA;NA;-0.002229063
2008;7;0;NA;NA;-0.0112864;-0.00018;NA;-0.000307;NA;NA;6.63064e-05;NA;0.00024;-0.0008812;NA;NA;-0.000400081
