"Year";"Type";"M01";"M02";"M04";"M05";"M07";"M08";"M09";"M12";"M13";"M14";"M18";"M19";"M20";"M25";"M26";"Obs"
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.002;NA;NA;NA;0.001719;NA;0.000404;NA;NA;8.21e-06;NA;NA;0.000922;NA;NA;0.000323815
2007;NA;0.002;NA;NA;NA;0.001137;NA;0.000436;NA;NA;9.37e-06;NA;NA;0.0009115;NA;NA;0.001200191
2007;NA;0.001;NA;NA;NA;-0.001081;NA;0.000372;NA;NA;1.16647e-05;NA;NA;0.0008856;NA;NA;0.001085202
2007;NA;0.001;NA;NA;NA;-0.000954;NA;0.000332;NA;NA;1.13231e-05;NA;NA;0.0008923;NA;NA;0.00091859
2007;NA;0.001;NA;NA;NA;-0.001453;NA;0.000208;NA;NA;9.78e-06;NA;NA;0.0008506;NA;NA;0.000716848
2007;NA;0.001;NA;NA;NA;-0.00137;NA;0.000114;NA;NA;9.66e-06;NA;NA;0.0008594;NA;NA;0.000403879
2007;NA;0.001;NA;NA;NA;-0.000534;NA;8.7e-05;NA;NA;9.2e-06;NA;NA;0.0008514;NA;NA;0.000651927
2007;NA;0.001;NA;NA;NA;-4.79999999999999e-05;NA;8e-05;NA;NA;8.08e-06;NA;NA;0.0008592;NA;NA;0.000903597
2007;NA;0.001;NA;NA;NA;-0.000771;NA;8.2e-05;NA;NA;8.59e-06;NA;NA;0.0008365;NA;NA;0.000435425
2007;NA;0.001;NA;NA;NA;-0.001026;NA;7.1e-05;NA;NA;9.94e-06;NA;NA;0.0008295;NA;NA;0.000361341
2007;NA;0.001;NA;NA;NA;-0.000966;NA;6.5e-05;NA;NA;9.92e-06;NA;NA;0.0008378;NA;NA;0.000509289
2007;NA;0;NA;NA;NA;-0.000895;NA;6.2e-05;NA;NA;9.19e-06;NA;NA;0.0008162;NA;NA;0.000343353
2007;NA;0;NA;NA;NA;-0.000868;NA;6e-05;NA;NA;7.71e-06;NA;NA;0.0008098;NA;NA;0.000366344
2007;NA;0.001;NA;NA;NA;-0.000847;NA;5.8e-05;NA;NA;7.22e-06;NA;NA;0.0008037;NA;NA;0.000504301
2007;NA;0.001;NA;NA;NA;-0.000606;NA;5.6e-05;NA;NA;6.92e-06;NA;NA;0.0007978;NA;NA;0.000407489
2007;NA;0;NA;NA;NA;-0.000816;NA;5.6e-05;NA;NA;6.66e-06;NA;NA;0.000792;NA;NA;0.000374428
2007;NA;0;NA;NA;NA;-0.000804;NA;5.5e-05;NA;NA;6.4e-06;NA;NA;0.0007864;NA;NA;0.000233195
2007;NA;0.001;NA;NA;NA;-0.000793;NA;5.4e-05;NA;NA;6.52e-06;NA;NA;0.000781;NA;NA;0.000137566
2007;NA;0.001;NA;NA;NA;-0.000784;NA;5.4e-05;NA;NA;6.67e-06;NA;NA;0.0007757;NA;NA;0.000409551
2007;NA;0;NA;NA;NA;-0.000775;NA;5.4e-05;NA;NA;6.9e-06;NA;NA;0.0007706;NA;NA;0.000802569
2007;NA;0;NA;NA;NA;-0.000767;NA;5.4e-05;NA;NA;7.05e-06;NA;NA;0.0007655;NA;NA;0.000538698
2007;NA;0;NA;NA;NA;-0.00076;NA;5.4e-05;NA;NA;7.29e-06;NA;NA;0.0007607;NA;NA;9.22e-05
2007;NA;0;NA;NA;NA;-0.000753;NA;5.4e-05;NA;NA;7.53e-06;NA;NA;0.0007559;NA;NA;0.000423607
2007;NA;0;NA;NA;NA;-0.000747;NA;5.4e-05;NA;NA;8.6e-06;NA;NA;0.0007512;NA;NA;5.55e-05
2007;NA;0;NA;NA;NA;-0.000741;NA;5.4e-05;NA;NA;1.04001e-05;NA;NA;0.0007467;NA;NA;0.000157121
2007;NA;0;NA;NA;NA;-0.000736;NA;5.4e-05;NA;NA;9.05e-06;NA;NA;0.0007422;NA;NA;0.000102361
2007;NA;0;NA;NA;NA;-0.00073;NA;5.4e-05;NA;NA;7.44e-06;NA;NA;0.0007379;NA;NA;0.000106446
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0.001;NA;NA;NA;-0.000797;NA;5.4e-05;NA;NA;7.24e-06;NA;NA;0.0008074;NA;NA;0.000380643
2007;NA;0.001;NA;NA;NA;-0.000791;NA;5.4e-05;NA;NA;7.27e-06;NA;NA;0.0008028;NA;NA;0.000249074
2007;NA;0;NA;NA;NA;-0.000786;NA;5.4e-05;NA;NA;7.11e-06;NA;NA;0.0007982;NA;NA;0.000193988
2007;NA;0;NA;NA;NA;-0.000781;NA;5.4e-05;NA;NA;7.02e-06;NA;NA;0.0007937;NA;NA;0.000222918
2007;NA;0;NA;NA;NA;-0.000776;NA;5.4e-05;NA;NA;6.93e-06;NA;NA;0.0007893;NA;NA;0.000342101
2007;NA;0;NA;NA;NA;-0.000772;NA;5.4e-05;NA;NA;6.83e-06;NA;NA;0.000785;NA;NA;0.000197331
2007;NA;0.001;NA;NA;NA;-0.000767;NA;5.3e-05;NA;NA;6.7e-06;NA;NA;0.0007807;NA;NA;1.89e-05
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;0;NA;NA;NA;-0.000759;NA;5.3e-05;NA;NA;6.55e-06;NA;NA;0.0007725;NA;NA;0.000322296
2007;NA;0.001;NA;NA;NA;-0.000755;NA;5.3e-05;NA;NA;6.46e-06;NA;NA;0.0007685;NA;NA;7.76e-05
2007;NA;0;NA;NA;NA;-0.00075;NA;5.3e-05;NA;NA;6.34e-06;NA;NA;0.0007645;NA;NA;0.000512388
2007;NA;0;NA;NA;NA;-0.000746;NA;5.3e-05;NA;NA;6.22e-06;NA;NA;0.0007607;NA;NA;0.000154822
2007;NA;0;NA;NA;NA;-0.000763;NA;5.3e-05;NA;NA;6.13e-06;NA;NA;0.0007712;NA;NA;0.000244874
2007;NA;0;NA;NA;NA;-0.000739;NA;5.3e-05;NA;NA;6.03e-06;NA;NA;0.0007531;NA;NA;0.000143033
2007;NA;0.001;NA;NA;NA;-0.000735;NA;5.3e-05;NA;NA;5.86e-06;NA;NA;0.0007494;NA;NA;0.000235564
2007;NA;0.001;NA;NA;NA;-0.000731;NA;5.3e-05;NA;NA;5.66e-06;NA;NA;0.0007458;NA;NA;0.000181908
2007;NA;0;NA;NA;NA;-0.000727;NA;5.3e-05;NA;NA;5.43e-06;NA;NA;0.0007422;NA;NA;0.000361268
2007;NA;0;NA;NA;NA;-0.000724;NA;5.3e-05;NA;NA;5.24e-06;NA;NA;0.0007387;NA;NA;0.000533464
2007;NA;0.001;NA;NA;NA;-0.00072;NA;5.3e-05;NA;NA;5e-06;NA;NA;0.0007352;NA;NA;0.000138854
2007;NA;0.001;NA;NA;NA;-0.000718;NA;5.3e-05;NA;NA;4.74e-06;NA;NA;0.0007318;NA;NA;0.000199251
2007;NA;0.001;NA;NA;NA;-0.000713;NA;5.3e-05;NA;NA;4.51e-06;NA;NA;0.0007284;NA;NA;0.000286885
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
